date,exercise,weight_kg,reps,sets
2026-05-25,Pull-up,,8,3
2026-05-25,Deadlift,87.5,6,4
2026-05-25,Overhead Press,35.0,6,3
2026-05-27,Pull-up,,10,3
2026-05-27,Overhead Press,35.0,7,4
2026-05-27,Bench Press,50.0,7,3
2026-05-29,Pull-up,,10,4
2026-05-29,Deadlift,87.5,7,3
2026-05-29,Bench Press,50.0,6,4
2026-06-01,Bench Press,50.0,9,3
2026-06-01,Deadlift,87.5,8,5
2026-06-01,Squat,72.5,10,3
2026-06-03,Squat,75.0,8,3
2026-06-03,Overhead Press,35.0,10,4
2026-06-03,Deadlift,90.0,5,5
2026-06-05,Overhead Press,35.0,5,5
2026-06-05,Pull-up,,8,3
2026-06-05,Bench Press,52.5,5,3
2026-06-08,Pull-up,,8,4
2026-06-08,Overhead Press,35.0,7,3
2026-06-08,Deadlift,90.0,9,5
2026-06-10,Bench Press,52.5,10,5
2026-06-10,Squat,72.5,10,3
2026-06-10,Overhead Press,35.0,6,3
2026-06-12,Squat,75.0,6,5
2026-06-12,Deadlift,90.0,7,4
2026-06-12,Pull-up,,11,4
2026-06-15,Bench Press,50.0,8,5
2026-06-15,Squat,77.5,9,4
2026-06-15,Deadlift,87.5,9,3
2026-06-17,Pull-up,,11,3
2026-06-17,Bench Press,52.5,6,5
2026-06-17,Deadlift,87.5,5,3
2026-06-19,Bench Press,52.5,5,5
2026-06-19,Pull-up,,9,4
2026-06-19,Overhead Press,35.0,9,5
2026-06-22,Overhead Press,35.0,6,4
2026-06-22,Squat,75.0,5,5
2026-06-22,Deadlift,87.5,8,5
2026-06-24,Squat,77.5,9,5
2026-06-24,Pull-up,,11,3
2026-06-24,Bench Press,52.5,8,5
2026-06-26,Pull-up,,9,4
2026-06-26,Overhead Press,37.5,6,4
2026-06-26,Deadlift,85.0,6,4
2026-06-29,Squat,77.5,10,3
2026-06-29,Overhead Press,35.0,6,5
2026-06-29,Bench Press,50.0,5,3
2026-07-01,Deadlift,85.0,6,4
2026-07-01,Bench Press,50.0,5,4
2026-07-01,Overhead Press,37.5,6,5
2026-07-03,Bench Press,50.0,9,4
2026-07-03,Pull-up,,11,4
2026-07-03,Deadlift,85.0,6,4
2026-07-06,Deadlift,85.0,7,3
2026-07-06,Squat,80.0,8,4
2026-07-06,Pull-up,,12,3
2026-07-08,Overhead Press,37.5,9,3
2026-07-08,Deadlift,85.0,5,3
2026-07-08,Pull-up,,10,3
2026-07-10,Deadlift,85.0,6,4
2026-07-10,Pull-up,,10,4
2026-07-10,Squat,82.5,10,4
2026-07-13,Overhead Press,37.5,9,4
2026-07-13,Bench Press,52.5,5,4
2026-07-13,Deadlift,87.5,5,5
2026-07-15,Bench Press,50.0,5,5
2026-07-15,Overhead Press,37.5,7,3
2026-07-15,Squat,82.5,6,3
2026-07-17,Deadlift,87.5,5,4
2026-07-17,Squat,85.0,8,4
2026-07-17,Bench Press,52.5,5,5
2026-07-20,Bench Press,50.0,6,3
2026-07-20,Squat,85.0,10,4
2026-07-20,Overhead Press,37.5,6,4
2026-07-22,Overhead Press,37.5,5,4
2026-07-22,Bench Press,50.0,5,5
2026-07-22,Pull-up,,13,3
2026-07-24,Pull-up,,12,3
2026-07-24,Overhead Press,37.5,10,4
2026-07-24,Squat,85.0,9,4
2026-07-27,Pull-up,,11,3
2026-07-27,Deadlift,90.0,7,3
2026-07-27,Overhead Press,40.0,10,5
2026-07-29,Bench Press,52.5,6,3
2026-07-29,Overhead Press,37.5,10,4
2026-07-29,Pull-up,,12,3
2026-07-31,Squat,87.5,9,5
2026-07-31,Pull-up,,12,3
2026-07-31,Deadlift,92.5,10,4
2026-08-03,Squat,85.0,8,3
2026-08-03,Overhead Press,37.5,7,5
2026-08-03,Pull-up,,13,3
2026-08-05,Squat,85.0,5,4
2026-08-05,Deadlift,92.5,8,3
2026-08-05,Pull-up,,13,4
2026-08-07,Pull-up,,14,3
2026-08-07,Bench Press,50.0,5,3
2026-08-07,Squat,87.5,5,4
2026-08-10,Squat,87.5,5,5
2026-08-10,Deadlift,95.0,9,3
2026-08-10,Bench Press,52.5,10,5
2026-08-12,Overhead Press,40.0,6,4
2026-08-12,Deadlift,95.0,10,5
2026-08-12,Pull-up,,14,3
2026-08-14,Squat,90.0,9,3
2026-08-14,Overhead Press,40.0,9,5
2026-08-14,Deadlift,95.0,5,5
2026-08-17,Pull-up,,12,3
2026-08-17,Bench Press,50.0,7,3
2026-08-17,Squat,90.0,8,5
2026-08-19,Squat,90.0,6,4
2026-08-19,Pull-up,,13,3
2026-08-19,Deadlift,95.0,8,3
